1us,4us,16us,64us,256us,1ms,4ms,4ms+
0,210,844,1170,177,185,199,373
1,260,1091,1741,217,242,281,553
2,309,1306,2295,242,303,365,747
2,374,1512,2813,303,340,457,934
2,399,1594,3024,327,353,482,1180
2,493,1734,3192,350,360,509,1373
2,540,1824,3326,384,371,526,1538
2,603,1912,3456,409,386,550,1679
2,615,1970,3566,432,400,584,1850
2,683,2107,3730,461,421,625,2096
2,720,2194,3895,490,431,653,2295
2,771,2296,4070,522,450,678,2473
3,819,2433,4266,540,463,699,2683
3,866,2538,4383,562,469,717,2807
3,900,2616,4530,592,482,743,2925
3,938,2712,4684,614,497,765,3125
3,955,2790,4830,651,514,798,3318
3,1007,2897,4986,690,535,832,3531
3,1055,3006,5149,728,549,858,3720
4,1126,3112,5247,755,569,893,3863
4,1157,3188,5411,776,587,921,3972
4,1209,3283,5561,802,610,948,4153
4,1251,3379,5750,834,636,976,4350
4,1293,3470,5905,851,649,1007,4540
4,1346,3561,6083,874,659,1033,4729
4,1454,3719,6212,898,673,1115,4947
4,1494,3795,6341,925,684,1129,5076
4,1534,3888,6466,949,695,1159,5169
4,1579,3984,6616,962,711,1174,5274
4,1620,4074,6721,982,725,1196,5410
4,1675,4166,6882,1005,736,1213,5519
4,1743,4270,7063,1043,754,1243,5726
5,1787,4372,7234,1068,772,1280,5907
5,1834,4495,7390,1104,802,1327,6078
6,1868,4563,7528,1113,807,1338,6181
6,1907,4658,7684,1140,820,1374,6351
6,1950,4742,7831,1160,831,1393,6467
6,2000,4833,7958,1175,845,1410,6595
6,2058,4926,8108,1191,855,1422,6710
6,2112,5035,8298,1220,868,1458,6916
6,2149,5108,8434,1235,877,1469,7023
9,2189,5185,8544,1256,885,1479,7105
9,2234,5261,8669,1281,897,1506,7243
9,2258,5335,8787,1305,906,1520,7353
9,2287,5404,8927,1321,913,1538,7472
9,2326,5482,9072,1353,921,1566,7604
9,2361,5563,9227,1376,940,1594,7772
9,2394,5627,9363,1397,951,1611,7856
9,2429,5736,9522,1424,961,1636,8023
9,2470,5825,9680,1439,971,1660,8159
9,2516,5909,9808,1462,984,1687,8296
9,2557,5994,9971,1484,997,1724,8437
9,2585,6059,10111,1504,1007,1744,8547
9,2624,6139,10245,1523,1015,1761,8642
9,2656,6221,10359,1550,1030,1794,8757
9,2678,6281,10494,1576,1039,1807,8862
10,2702,6397,10637,1606,1052,1823,8995
10,2755,6490,10817,1644,1074,1853,9138
10,2770,6559,10934,1663,1086,1877,9272
10,2809,6655,11095,1684,1103,1901,9372
10,2903,6913,11334,1772,1168,1981,9807
10,2942,6995,11472,1792,1181,1999,9930
12,2991,7114,11747,1815,1193,2024,10096
12,3004,7212,11931,1837,1206,2045,10218
12,3012,7239,12077,1845,1212,2048,10229
12,3071,7361,12436,1861,1232,2078,10282
12,3120,7424,12662,1871,1235,2088,10296
