1us,4us,16us,64us,256us,1ms,4ms,4ms+
0,183,895,1423,118,111,147,397
0,204,1074,2218,374,205,208,568
0,213,1167,2619,630,268,263,759
0,218,1222,2779,818,458,382,1106
0,222,1282,2998,929,519,404,1335
0,226,1310,3094,1033,570,418,1523
0,231,1390,3276,1190,585,428,1628
0,233,1440,3426,1293,614,445,1789
0,234,1503,3563,1441,632,470,1939
0,237,1552,3726,1547,650,481,2117
0,239,1587,3908,1664,669,500,2309
0,245,1668,4057,1816,682,514,2462
0,248,1758,4274,2001,704,520,2633
0,250,1797,4422,2082,727,532,2782
0,256,1882,4558,2289,755,543,2938
0,261,1961,4755,2450,776,558,3091
0,267,2041,4919,2651,803,578,3283
0,275,2100,5073,2792,821,591,3406
0,290,2188,5296,2917,837,600,3570
0,298,2257,5443,3039,860,616,3709
0,301,2306,5584,3156,876,624,3903
0,304,2373,5788,3256,904,640,4086
0,310,2476,6003,3412,928,665,4327
0,315,2551,6150,3577,943,679,4465
0,335,2633,6292,3724,982,691,4622
0,347,2704,6428,3849,1009,704,4755
0,352,2780,6579,3956,1029,717,4897
0,360,2840,6726,4048,1049,728,5040
0,367,2919,6852,4167,1081,745,5202
0,374,2993,6960,4266,1122,759,5329
0,384,3048,7125,4343,1157,770,5553
0,392,3118,7282,4468,1177,776,5672
0,413,3209,7437,4628,1206,787,5869
0,417,3255,7566,4715,1220,794,5969
0,420,3325,7738,4841,1239,804,6151
0,429,3394,7909,5061,1318,818,6348
0,442,3466,8071,5154,1349,835,6529
0,451,3555,8242,5243,1379,841,6655
0,459,3617,8435,5417,1401,860,6857
0,463,3686,8551,5535,1420,862,7007
0,471,3741,8718,5641,1441,887,7175
0,477,3820,8869,5778,1474,909,7338
0,488,3927,9009,5976,1507,929,7509
0,493,3990,9180,6114,1535,942,7653
0,496,4038,9314,6259,1549,952,7817
0,501,4106,9478,6411,1580,960,7957
0,509,4174,9625,6596,1611,972,8141
0,511,4211,9757,6749,1631,979,8288
0,513,4282,9948,6899,1696,1047,8495
0,520,4345,10100,7028,1717,1055,8610
0,525,4425,10287,7165,1744,1062,8785
0,534,4536,10614,7361,1804,1098,8881
0,552,4691,10965,7480,1838,1123,9062
0,562,4856,11193,7651,1869,1135,9236
0,573,5086,11445,7866,1906,1152,9549
0,579,5313,11698,8026,1951,1165,9838
0,588,5516,12015,8242,2016,1193,10104
0,594,5634,12230,8371,2041,1211,10278
0,603,5763,12409,8549,2069,1225,10493
0,606,5837,12627,8677,2099,1241,10665
0,616,5925,12841,8845,2119,1252,10832
0,620,5997,12955,8978,2136,1265,10927
0,627,6155,13257,9181,2163,1275,11125
0,639,6209,13417,9374,2180,1283,11155
0,642,6251,13554,9713,2194,1287,11171
0,651,6296,13793,10115,2209,1295,11246
0,658,6346,13889,10314,2213,1301,11289
0,663,6389,13956,10490,2235,1309,11330
0,670,6438,14097,10673,2262,1317,11388
0,677,6495,14166,10890,2298,1335,11435
